UUID,요청 UUID,이벤트 타입,사용자명,타임스탬프,IP 주소,리소스,액션,상태,상세 정보,에러 메시지
57ed535f-2874-4c02-951c-3854968775a8,5688d99d-f86b-4d3c-962b-1e82928fc1ab,AUTHENTICATION,herotic,2026-02-11 15:49:02,127.0.***.1,,로그인,SUCCESS,"{""method"":""authenticate"",""executionTimeMs"":246,""tenantId"":""apipt-glab""}",
91689fd8-f3d8-42a9-bf06-548f12b2573a,26dc337f-edf0-4f56-bd4a-1a59959e8c43,AUTHENTICATION,herotic,2026-02-11 15:48:54,127.0.***.1,,로그아웃,SUCCESS,"{""method"":""logout"",""executionTimeMs"":23,""tenantId"":""apipt-glab""}",
2d48a245-4993-4d0e-9f4d-44606a2b0190,7aabb1ca-4194-4907-8135-8730a9370e29,USER_MANAGEMENT,admin,2026-02-11 15:48:46,127.0.***.1,/pages/user/edit/97186ebd-f16e-4742-b2f9-77de9c94bf19,유저 설정 수정,SUCCESS,"{""result"":{""headers"":{},""body"":{""uuid"":""97186ebd-f16e-4742-b2f9-77de9c94bf19"",""userName"":""herotic"",""fullName"":""박현준"",""email"":""herotic@genesis.co.kr"",""role"":""MANAGER"",""status"":null,""organizationUuid"":null,""tokens"":null},""statusCode"":""OK"",""statusCodeValue"":200},""method"":""updateUser"",""executionTimeMs"":69,""tenantId"":""apipt-glab"",""arguments"":[""apipt-glab"",{""beforeData"":{""uuid"":""97186ebd-f16e-4742-b2f9-77de9c94bf19"",""userName"":""herotic"",""fullName"":""박현준"",""email"":""herotic@genesis.co.kr"",""role"":""PRODUCER"",""status"":""ACTIVE"",""organizationUuid"":""43fb4f0e-96c7-42c9-b07f-8e84f10c1528"",""tokens"":null},""requestData"":{""uuid"":""97186ebd-f16e-4742-b2f9-77de9c94bf19"",""userName"":""herotic"",""fullName"":""박현준"",""email"":""herotic@genesis.co.kr"",""role"":""MANAGER"",""organizationUuid"":null,""status"":""ACTIVE""}}]}",
a4beed66-bb3f-426b-a50d-bcf3b1f3c07c,6950f4ae-a188-4bac-9e7b-f3d9279bc933,AUTHENTICATION,herotic,2026-02-11 15:47:40,127.0.***.1,,로그인,SUCCESS,"{""method"":""authenticate"",""executionTimeMs"":267,""tenantId"":""apipt-glab""}",
5d1e6a9d-c2f8-4ab5-849a-e8d3b1c94b41,bf14b136-1001-4f31-ae31-f925576b50d4,AUTHENTICATION,herotic,2026-02-11 15:47:08,127.0.***.1,,로그인,FAILURE,"{""method"":""authenticate"",""executionTimeMs"":124,""tenantId"":""apipt-glab""}","403 FORBIDDEN ""접속자 (herotic) 의 IP 주소 (127.0.0.1) 접근이 거부 되었습니다."""
b2d89731-95f3-4cf3-bceb-979ae7223036,c564d3c0-df02-485e-a0d9-b92bb4927437,AUTHENTICATION,herotic,2026-02-11 15:47:00,127.0.***.1,,로그아웃,SUCCESS,"{""method"":""logout"",""executionTimeMs"":17,""tenantId"":""apipt-glab""}",
d4a64acd-cc52-4733-8099-bf97f1f6d138,79c458bb-93ad-4323-a4d8-797426f10b1d,AUTHENTICATION,herotic,2026-02-11 15:42:51,127.0.***.1,,로그인,SUCCESS,"{""method"":""authenticate"",""executionTimeMs"":243,""tenantId"":""apipt-glab""}",
0bad754f-0177-4c81-836b-f2fe40a5baf1,7144c94d-10c4-4bef-9e6d-99fc7ad02171,AUTHENTICATION,herotic,2026-02-11 15:41:20,127.0.***.1,,로그인,FAILURE,"{""method"":""authenticate"",""executionTimeMs"":221,""tenantId"":""apipt-glab""}","401 UNAUTHORIZED ""RESET_PASSWORD"""
6556127e-3dcc-4df3-ad6e-6d0812f9c3f2,3ca4bf18-8291-4cf3-90e2-3021aa6d7984,USER_MANAGEMENT,admin,2026-02-11 15:40:05,127.0.***.1,/pages/user/edit/97186ebd-f16e-4742-b2f9-77de9c94bf19,유저 생성,SUCCESS,"{""result"":{""headers"":{},""body"":{""uuid"":""97186ebd-f16e-4742-b2f9-77de9c94bf19"",""userName"":""herotic"",""fullName"":""박현준"",""email"":""herotic@genesis.co.kr"",""role"":""PRODUCER"",""status"":""RESET_PASSWORD"",""organizationUuid"":""43fb4f0e-96c7-42c9-b07f-8e84f10c1528"",""tokens"":null},""statusCode"":""OK"",""statusCodeValue"":200},""method"":""createUser"",""executionTimeMs"":163,""tenantId"":""apipt-glab"",""arguments"":[""apipt-glab"",{""userName"":""herotic"",""password"":""0269f88823344a69ec4f1d276ceba8f7:d+bNAc0YikFWyVX7LaeQSQ=="",""fullName"":""박현준"",""email"":""herotic@genesis.co.kr"",""role"":""PRODUCER"",""organizationUuid"":""43fb4f0e-96c7-42c9-b07f-8e84f10c1528""}]}",
fdaea10f-83cb-4fc3-a859-975c069e8c25,d3462845-551e-466f-9265-8ac7a725c7fb,USER_MANAGEMENT,admin,2026-02-11 15:36:17,127.0.***.1,,유저 삭제,SUCCESS,"{""result"":{""headers"":{},""body"":{""uuid"":""bdf8e9b3-6f9c-4cf2-b256-3e53da888a84"",""userName"":""herotic"",""fullName"":""herotic"",""email"":""herotic@genesis.co.kr"",""role"":""PRODUCER"",""status"":""ACTIVE"",""organizationUuid"":""43fb4f0e-96c7-42c9-b07f-8e84f10c1528"",""tokens"":null},""statusCode"":""OK"",""statusCodeValue"":200},""method"":""deleteUser"",""executionTimeMs"":117,""tenantId"":""apipt-glab"",""arguments"":[""apipt-glab"",""bdf8e9b3-6f9c-4cf2-b256-3e53da888a84""]}",
